SEKOLAH KEBANGSAAN (FELDA) LAKUM,CBA7160,null
SEKOLAH KEBANGSAAN GUAI,CBAA154,null
SEKOLAH KEBANGSAAN CHARUK PUTING,CBAA155,null
SEKOLAH KEBANGSAAN JALAN BAHAGIA,CBB7066,null
SRA ISLAM AT TAKWA,CCT7001,null
SEKOLAH MENENGAH KEBANGSAAN BUKIT DAMAR,CEA7068,null
SEKOLAH MENENGAH KEBANGSAAN BUKIT CERMIN,CEA7072,null
SEKOLAH MENENGAH KEBANGSAAN LANCHANG,CEA7073,null
MADRASAH TARBIAH ISLAMIAH,CFT7001,null
SEKOLAH RENDAH AGAMA ISLAHIAH,CCA8001,null
SEKOLAH MENENGAH KEBANGSAAN ROMPIN PERMAI,CEA8031,null
SEKOLAH MENENGAH KEBANGSAAN MUADZAM JAYA,CEA8026,null
SEKOLAH KEBANGSAAN ROMPIN,CBA8001,null
SEKOLAH KEBANGSAAN TANJONG GEMOK,CBA8003,null
SEKOLAH KEBANGSAAN KEDAIK,CBA8012,null
SEKOLAH KEBANGSAAN BT SEROK,CBA8013,null
