SEKOLAH KEBANGSAAN CHANGKAT BANJAR,ABA8214
SEKOLAH KEBANGSAAN TELUK KEPAYANG,ABA8215
SEKOLAH KEBANGSAAN PARIT,ABA8216
SEKOLAH KEBANGSAAN LENGKUAS,ABA8217
SEKOLAH KEBANGSAAN TELOK PERANG,ABA8218
SEKOLAH KEBANGSAAN CHOPIN,ABA8219
SEKOLAH KEBANGSAAN BUKIT CHUPAK,ABA8220
SEKOLAH KEBANGSAAN LAYANG-LAYANG KANAN,ABA8221
SEKOLAH KEBANGSAAN CIKGU MIOR SHAHARUDDIN,ABA8222
SEKOLAH KEBANGSAAN BOTA KANAN,ABA8223
SEKOLAH KEBANGSAAN PADANG CHANGKAT,ABA8224
SEKOLAH KEBANGSAAN LAMBOR KANAN,ABA8225
SEKOLAH KEBANGSAAN TELOK BAKONG,ABA8226
SEKOLAH KEBANGSAAN SUNGAI RANGGAM,ABA8227
SEKOLAH KEBANGSAAN DATO' SAGOR,ABA8228
SEKOLAH KEBANGSAAN SELAT PULAU,ABA8229
SEKOLAH KEBANGSAAN TANJONG BIDARA,ABA8230
SEKOLAH KEBANGSAAN RAJA CHULAN,ABA8231
SEKOLAH KEBANGSAAN PULAU TIGA KIRI,ABA8232
SEKOLAH KEBANGSAAN TOH PADUKA RAJA,ABA8233
SEKOLAH KEBANGSAAN TOK PELITA,ABA8234
SEKOLAH KEBANGSAAN PULAU JUAR,ABA8235
SEKOLAH KEBANGSAAN BANDAR TUA,ABA8236
SEKOLAH KEBANGSAAN PASIR PANJANG ULU,ABA8237
SEKOLAH KEBANGSAAN SUAK PADI,ABA8238
SEKOLAH KEBANGSAAN PASIR KUBU,ABA8239
SEKOLAH KEBANGSAAN BANDAR,ABA8241
SEKOLAH KEBANGSAAN SUNGAI BESAR,ABA8242
SEKOLAH KEBANGSAAN KOTA SETIA,ABA8243
SEKOLAH KEBANGSAAN SEBERANG PERAK,ABA8244
SEKOLAH KEBANGSAAN SRI CHANGKAT,ABA8245
SEKOLAH KEBANGSAAN SERI CEMPAKA,ABA8246
SEKOLAH KEBANGSAAN CHENDERONG KELUBI,ABA8247
SEKOLAH KEBANGSAAN SUNGAI PERAH,ABA8248
SEKOLAH KEBANGSAAN CHANGKAT LADA 2,ABA8249
SEKOLAH KEBANGSAAN TITI GANTONG,ABA8250
SEKOLAH KEBANGSAAN SERI ISKANDAR,ABA8251
SEKOLAH KEBANGSAAN FELCRA NASARUDDIN,ABA8252
SEKOLAH KEBANGSAAN CHANGKAT LADA 3,ABA8253
SEKOLAH KEBANGSAAN ISKANDAR PERDANA,ABA8254
SEKOLAH KEBANGSAAN GOPENG,ABA9001
SEKOLAH KEBANGSAAN GUNUNG PANJANG,ABA9002
SEKOLAH KEBANGSAAN KOTA BAHARU,ABA9003
SEKOLAH KEBANGSAAN TUALANG SEKAH,ABA9004
SEKOLAH KEBANGSAAN MALIM NAWAR,ABA9005
SEKOLAH KEBANGSAAN KUALA DIPANG,ABA9006
SEKOLAH KEBANGSAAN SAHOM,ABA9007
SEKOLAH KEBANGSAAN KAMPAR,ABA9008
SEKOLAH KEBANGSAAN BUKIT PEKAN,ABA9009
